Horizon,Decision Tree accuracy,Support Vector Machine accuracy,Logistic Regression accuracy
1,0.42304230423042305,0.31413141314131415,0.5639063906390639
6,0.32882273342354534,0.31393775372124494,0.4826341903473162
12,0.3138851198552691,0.3138851198552691,0.4730890999547716
24,0.39517962710322874,0.3119599818099136,0.4815825375170532
